"male",3,"Central","Freelance","About it","10,000 to 40,000","Portfolio","websAbout ite education",2,"Excellent","Good","Unsatisfy","some of knowledge","Easy","Chance to play the game","Sometimes late","Always try","Sometimes","Never","I tend to lose concentration every 5 to 10 minutes.","Do not play","I listened carefully to what the teacher was teaching.","Page to medium","I tend to keep doubts for answers later.","Listen to the teacher, but rarely wrAbout ite down.","Read the book 1 week","Study","friend","medium","medium","Appropriate",
"male",2,"Central","Personal business","About it","more 50,000","tcas","Fanpage universAbout ity",1,"Good","Good","Good","some of knowledge","Normal","Chance to play the game","Sometimes late","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","SAbout itting and talking nonsense wAbout ith friends while the teacher was teaching","Behind the room","I tend to keep doubts for answers later.","Listen to the teacher, but rarely wrAbout ite down.","Read book alone","Study","friend","medium","medium","Inappropriate",
"female",3,"Eastern","Personal business","null","10,000 to 40,000","area quota","guide",1,"Excellent","Unsatisfy","Unsatisfy","full of knowledge","Normal","High salary","Always on time","Sometimes","Dare","Sometimes","I focus on the content that the teachers teach all the time.","Play","I listened carefully to what the teacher was teaching.","Page to medium","I tend to search for answers from various sources. Immediately after a doubt","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","friend","medium","medium","Inappropriate",
"male",2,"Eastern","Company employee","null","more 50,000","area quota","Fanpage universAbout ity",1,"Unsatisfy","Fair","Unsatisfy","some of knowledge","Normal","Developed for work","Sometimes late","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","No preparation","Behind the room","ignore","Listen to the teacher, but rarely wrAbout ite down.","Tutoring with friends","Study","Not consult","medium","high","Inappropriate",
"female",3,"Eastern","Personal business","null","10,000 to 40,000","area quota","guide",0,"Excellent","Unsatisfy","Fair","full of knowledge","Normal","Like","Sometimes late","Sometimes","Sometimes","Every time","I tend to lose concentration every 5 to 10 minutes.","Play","SAbout itting and talking nonsense wAbout ith friends while the teacher was teaching","Page to medium","I tend to search for answers from various sources. Immediately after a doubt","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","friend","medium","high","Inappropriate",
"male",4,"Central","Company employee","About it","10,000 to 40,000","Admissions","websAbout ite education",1,"Excellent","Fair","Good","some of knowledge","Normal","Developed for work","Sometimes late","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","SAbout itting and talking nonsense wAbout ith friends while the teacher was teaching","Page to medium","I tend to keep doubts for answers later.","No technique","Tutoring with friends","Study","Not consult","medium","high","Appropriate",
"female",3,"Eastern","Officialdom","null","10,000 to 40,000","area quota","guide",1,"Excellent","Fair","Unsatisfy","some of knowledge","Normal","Developed for work","Always on time","Always try","Sometimes","Every time","I tend to lose concentration every 5 to 10 minutes.","Do not play","No preparation","Page to medium","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","friend","medium","medium","Appropriate",
"male",4,"Central","Officialdom","null","10,000 to 40,000","Portfolio","Fanpage universAbout ity",1,"Fair","Fair","Fair","some of knowledge","Normal","another","Sometimes late","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","No preparation","Behind the room","I tend to search for answers from various sources. Immediately after a doubt","No technique","Read book alone","Study","Not consult","medium","high","Appropriate",
"female",4,"Eastern","Officialdom","Not About it","10,000 to 40,000","Portfolio","Seniors",1,"Excellent","Fair","Fair","some of knowledge","Normal","Chance to play the game","Sometimes late","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","No preparation","Page to medium","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","family","medium","medium","Inappropriate",
"female",4,"Eastern","Personal business","About it","10,000 to 40,000","Admissions","websAbout ite education",2,"Excellent","Fair","Fair","full of knowledge","Normal","another","Sometimes late","Sometimes","Dare","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","I listened carefully to what the teacher was teaching.","Page to medium","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Read the book 1 week","Study","family","medium","medium","Inappropriate",
"male",4,"Central","Company employee","About it","10,000 to 40,000","Direct examination","websAbout ite education",1,"Good","Fair","Unsatisfy","full of knowledge","Normal","Developed for work","Sometimes late","Always peel friends","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","SAbout itting and talking nonsense wAbout ith friends while the teacher was teaching","Behind the room","I tend to keep doubts for answers later.","No technique","Tutoring with friends","Study","Not consult","medium","medium","Inappropriate",
"female",2,"Central","Freelance","Not About it","less than 10,000","area quota","Search on internet",1,"Excellent","Good","Good","full of knowledge","Normal","Talented IT","Always on time","Sometimes","Dare","Sometimes","I focus on the content that the teachers teach all the time.","Do not play","I listened carefully to what the teacher was teaching.","Page to medium","I tend to search for answers from various sources. Immediately after a doubt","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","family","Do not play","high","Appropriate",
"female",4,"Central","Agriculturist","Not About it","10,000 to 40,000","Direct examination","websAbout ite education",2,"Excellent","Fair","Excellent","full of knowledge","Normal","High salary","Sometimes late","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","No preparation","Behind the room","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","friend","medium","medium","Appropriate",
"male",2,"Central","Personal business","Not About it","10,000 to 40,000","GoodGrade quota","parent",3,"Excellent","Unsatisfy","Excellent","some of knowledge","Normal","Developed for work","Sometimes late","Sometimes","Sometimes","Every time","I tend to lose concentration every 5 to 10 minutes.","Play","SAbout itting and talking nonsense wAbout ith friends while the teacher was teaching","Behind the room","I tend to search for answers from various sources. Immediately after a doubt","I always have a notebook In order to note down important  that is apart from the sheet","Not prepared","No study","Not consult","medium","high","Inappropriate",
"female",4,"Central","Company employee","null","10,000 to 40,000","GoodGrade quota","Fanpage universAbout ity",0,"Excellent","Good","Fair","some of knowledge","Normal","High salary","Sometimes late","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","No preparation","Behind the room","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","friend","Do not play","medium","Appropriate",
"female",2,"Central","Freelance","null","10,000 to 40,000","Admissions","friend-someone",1,"Excellent","Unsatisfy","Good","some of knowledge","Normal","Developed for work","Always on time","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","No preparation","Page to medium","I tend to search for answers from various sources. Immediately after a doubt","I always have a notebook In order to note down important  that is apart from the sheet","Read the book 1 week","Study","friend","medium","medium","Appropriate",
"male",4,"Central","Officialdom","About it","more 50,000","Admissions","guide",1,"Good","Fair","Fair","full of knowledge","Normal","Developed for work","Sometimes late","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","No preparation","Behind the room","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Read the book 1 night","Study","family","medium","high","Appropriate",
"male",3,"Central","Company employee","About it","10,000 to 40,000","area quota","friend-someone",1,"Good","Fair","Unsatisfy","some of knowledge","Normal","another","Always on time","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","No preparation","Page to medium","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","friend","medium","medium","Appropriate",
"male",2,"Eastern","Company employee","About it","more 50,000","Admissions","Search on internet",2,"Excellent","Fair","Fair","some of knowledge","Normal","Talented IT","Sometimes late","Always try","Dare","Never","I tend to lose concentration every 5 to 10 minutes.","Play","I listened carefully to what the teacher was teaching.","Page to medium","I tend to search for answers from various sources. Immediately after a doubt","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","family","medium","medium","Appropriate",
"female",2,"Central","Agriculturist","null","less than 10,000","area quota","websAbout ite education",0,"Fair","Fair","Fair","full of knowledge","Normal","High salary","Always on time","Sometimes","Sometimes","Sometimes","I tend to lose concentration every 5 to 10 minutes.","Play","I listened carefully to what the teacher was teaching.","Page to medium","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","friend","medium","medium","Inappropriate",
"female",2,"Western","Personal business","About it","less than 10,000","Direct examination","websAbout ite education",4,"Excellent","Unsatisfy","Fair","some of knowledge","Normal","High salary","Sometimes late","Sometimes","Sometimes","Every time","I tend to lose concentration every 5 to 10 minutes.","Play","SAbout itting and talking nonsense wAbout ith friends while the teacher was teaching","Page to medium","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Tutoring with friends","Study","family","medium","medium","Inappropriate",
"female",2,"Eastern","Personal business","About it","10,000 to 40,000","GoodGrade quota","websAbout ite education",1,"Excellent","Fair","Good","full of knowledge","Normal","Developed for work","Sometimes late","Sometimes","Dare","Sometimes","I focus on the content that the teachers teach all the time.","Do not play","I listened carefully to what the teacher was teaching.","Page to medium","I tend to keep doubts for answers later.","I always have a notebook In order to note down important  that is apart from the sheet","Read the book 1 week","Study","family","Do not play","medium","Appropriate",
